Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
TOL,Toll Brothers Inc.,35.75,$5.81B,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/tol,
TR,"Tootsie Roll Industries, Inc.",38.05,$1.49B,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/tr,
BLD,TopBuild Corp.,44.63,$1.68B,2015,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/bld,
TMK,Torchmark Corporation,78.41,$9.23B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/tmk,
TMK^B,Torchmark Corporation,24.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tmk^b,
TMK^C,Torchmark Corporation,25.58,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tmk^c,
TTC,Toro Company (The),60.72,$6.53B,n/a,Capital Goods,Tools/Hardware,http://www.nasdaq.com/symbol/ttc,
TD,Toronto Dominion Bank (The),49.25,$91.6B,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/td,
NDP,"Tortoise Energy Independence Fund, Inc.",15.2,$220.64M,2012,n/a,n/a,http://www.nasdaq.com/symbol/ndp,
TYG,Tortoise Energy Infrastructure Corporation,31.7,$1.55B,2004,n/a,n/a,http://www.nasdaq.com/symbol/tyg,
NTG,"Tortoise MLP Fund, Inc.",19.42,$914.31M,2010,n/a,n/a,http://www.nasdaq.com/symbol/ntg,
TTP,"Tortoise Pipeline & Energy Fund, Inc.",20.26,$202.93M,2011,n/a,n/a,http://www.nasdaq.com/symbol/ttp,
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc",21.23,$147.58M,2009,n/a,n/a,http://www.nasdaq.com/symbol/tpz,
TOT,Total S.A.,49.2,$120.72B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tot,
TSS,"Total System Services, Inc.",54.12,$9.92B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/tss,
TOWR,"Tower International, Inc.",28.2,$624.31M,2010,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/towr,
TSQ,"Townsquare Media, Inc.",12.02,$221.1M,2014,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tsq,
TM,Toyota Motor Corp Ltd Ord,112.09,$167.48B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tm,
TSLX,"TPG Specialty Lending, Inc.",19.91,$1.19B,2014,n/a,n/a,http://www.nasdaq.com/symbol/tslx,
TAC,TransAlta Corporation,5.25,$1.51B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/tac,
TRP,TransCanada Corporation,45.29,$39.26B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/trp,
TCI,"Transcontinental Realty Investors, Inc.",21.4,$186.56M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/tci,
TDG,Transdigm Group Incorporated,231.72,$12.25B,2006,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/tdg,
TLP,TransMontaigne Partners L.P.,48.27,$778.94M,2005,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/tlp,
RIG,Transocean Ltd.,12.41,$4.83B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rig,
TGS,Transportadora De Gas Sa Ord B,13.44,$2.14B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tgs,
TRU,TransUnion,37.6,$6.82B,2015,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/tru,
TVPT,Travelport Worldwide Limited,12.12,$1.5B,2014,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/tvpt,
TRR,"TRC Companies, Inc.",10.85,$342.8M,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/trr,
TREC,Trecora Resources,10.95,$261.71M,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/trec,
TG,Tredegar Corporation,17.75,$585.11M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/tg,
THS,"Treehouse Foods, Inc.",85.43,$4.86B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ths,
TRMR,"Tremor Video, Inc.",2.14,$111.19M,2013,Technology,Advertising,http://www.nasdaq.com/symbol/trmr,
TREX,"Trex Company, Inc.",70.67,$2.08B,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/trex,
TY,Tri Continental Corporation,23.18,$1.32B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ty,
TY^,Tri Continental Corporation,49.78,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ty^,
TPH,"TRI Pointe Group, Inc.",12.5,$1.98B,2013,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/tph,
TCAP,Triangle Capital Corporation,18.43,$749.01M,2007,n/a,n/a,http://www.nasdaq.com/symbol/tcap,
TCCA,Triangle Capital Corporation,25.22,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tcca,
TCCB,Triangle Capital Corporation,25.923,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/tccb,
TRCO,Tribune Media Company,38.03,$3.3B,2014,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/trco,
TNET,"TriNet Group, Inc.",29.22,$1.99B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/tnet,
TRN,"Trinity Industries, Inc.",25.61,$3.9B,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/trn,
TSE,Trinseo S.A.,70.3,$3.09B,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/tse,
TPVG,TriplePoint Venture Growth BDC Corp.,13.46,$214.79M,2014,n/a,n/a,http://www.nasdaq.com/symbol/tpvg,
TPVZ,TriplePoint Venture Growth BDC Corp.,25.8017,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/tpvz,
GTS,Triple-S Management Corporation,17.12,$415.55M,2007,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/gts,
TRTN,Triton International Limited,23.76,$793.47M,2016,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/trtn,
TGI,"Triumph Group, Inc.",24.1,$1.19B,1996,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/tgi,
TROX,Tronox Limited,15.98,$1.87B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/trox,
TBI,"TrueBlue, Inc.",26.5,$1.12B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/tbi,
TNP,Tsakos Energy Navigation Ltd,4.4,$366.17M,2002,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/tnp,
TNP^B,Tsakos Energy Navigation Ltd,25.43,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tnp^b,
TNP^C,Tsakos Energy Navigation Ltd,25.7881,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tnp^c,
TNP^D,Tsakos Energy Navigation Ltd,24.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tnp^d,
TUP,Tupperware Brands Corporation,60.59,$3.07B,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/tup,
TKC,Turkcell Iletisim Hizmetleri AS,8.15,$7.17B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tkc,
TKF,"Turkish Investment Fund, Inc. (The)",8.1,$36.15M,1989,n/a,n/a,http://www.nasdaq.com/symbol/tkf,
TPB,"Turning Point Brands, Inc.",13.88,$254.59M,2016,Consumer Non-Durables,Tobacco,http://www.nasdaq.com/symbol/tpb,
TRQ,Turquoise Hill Resources Ltd.,3.05,$6.14B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/trq,
TPC,Tutor Perini Corporation,30.4,$1.5B,n/a,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,http://www.nasdaq.com/symbol/tpc,
TWLO,Twilio Inc.,31.07,$2.72B,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twlo,
TWTR,"Twitter, Inc.",15.32,$11.14B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/twtr,
TWO,Two Harbors Investments Corp,9.2,$3.21B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/two,
TYL,"Tyler Technologies, Inc.",155.27,$5.72B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/tyl,
TSN,"Tyson Foods, Inc.",62.67,$22.37B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/tsn,
